vin,msrp,dealer's price,price,make,model,year,transmission,mileage,dealer name,dealer address,lat,lng
1C4HJXAG0NW180878,"$45,780 ","$45,780 ","$45,780 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,Sames Bastrop CDJ,"1586 Hwy 71 West, Cedar Creek, TX 78612",30.1258939,-97.4366989
1C4HJXAG9NW180877,"$45,780 ","$45,780 ","$45,780 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,Sames Bastrop CDJ,"1586 Hwy 71 West, Cedar Creek, TX 78612",30.1258939,-97.4366989
1C4HJXCG2NW201906,"$45,945 ","$45,945 ","$46,344 ",Jeep,Wrangler,2022,Manual,6 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121, Frisco, TX 75035",33.1009626,-96.7998519
1C4HJXCN7NW225729,"$47,550 ","$47,550 ","$47,550 ",Jeep,Wrangler,2022,Automatic,7 miles,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd, Austin, TX 78758",30.3522474,-97.7135395
1C4HJXCN5NW225728,"$47,945 ","$47,945 ","$47,945 ",Jeep,Wrangler,2022,Automatic,7 miles,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd, Austin, TX 78758",30.3522474,-97.7135395
1C4HJXCG7NW225733,"$50,190 ","$50,190 ","$50,190 ",Jeep,Wrangler,2022,Automatic,7 miles,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd, Austin, TX 78758",30.3522474,-97.7135395
1C4GJXAG5NW259605,"$50,525 ","$50,525 ","$50,525 ",Jeep,Wrangler,2022,8-Speed Automatic,---,South Point Dodge Chrysler Jeep,"5210 IH-35 South, Austin, TX 78745",30.2039191,-97.7612793
1C4HJXCN0NW196137,"$50,535 ","$50,535 ","$50,934 ",Jeep,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121, Frisco, TX 75035",33.1009626,-96.7998519
1C4HJXCG4NW180850,"$50,990 ","$50,990 ","$51,292 ",Jeep,Wrangler,2022,8-Speed Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4HJXCN0NW196011,"$58,305 ","$58,305 ","$58,305 ",Jeep,Wrangler,2022,8-Speed Automatic,---,South Point Dodge Chrysler Jeep,"5210 IH-35 South, Austin, TX 78745",30.2039191,-97.7612793
1C4HJXDG9NW120514,"$51,870 ","$51,870 ","$51,870 ",Jeep,Wrangler,2022,Automatic,7 miles,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd, Austin, TX 78758",30.3522474,-97.7135395
1C4HJXDN2NW231419,"$39,565 ","$36,465 ","$36,465 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN9NW231417,"$39,565 ","$36,465 ","$36,465 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDNXNW252230,"$42,370 ","$39,270 ","$39,270 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN1NW243593,"$42,715 ","$39,615 ","$39,615 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDNXNW252227,"$42,765 ","$39,665 ","$39,665 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN3NW252232,"$42,765 ","$41,609 ","$41,609 ",Jeep,Wrangler,2022,8-Speed Automatic,1 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDG1NW240629,"$42,985 ","$39,885 ","$39,885 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN5NW243595,"$43,065 ","$39,965 ","$39,965 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4HJXDN1NW253881,"$40,060 ","$40,060 ","$40,259 ",Jeep,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35, San Antonio, TX 78233",29.5474868,-98.3631077
1C4HJXDN3NW253882,"$40,060 ","$40,060 ","$40,259 ",Jeep,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35, San Antonio, TX 78233",29.5474868,-98.3631077
1C4JJXP64NW275797,"$58,280 ","$54,880 ","$54,880 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP64NW275797,"$58,280 ","$54,880 ","$54,880 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP60NW275795,"$58,885 ","$55,485 ","$55,485 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP69NW275794,"$59,280 ","$55,880 ","$55,880 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP62NW177898,"$57,085 ","$57,085 ","$57,085 ",Jeep,Wrangler,2022,Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXP64NW205281,"$58,975 ","$57,475 ","$57,475 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP65NW197997,"$59,380 ","$57,880 ","$57,880 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP66NW227976,"$59,475 ","$57,975 ","$57,975 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP62NW227974,"$59,475 ","$57,975 ","$57,975 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP65NW114696,Not Provided,"$58,230 ","$58,230 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South, Dickinson, TX 77539",29.4493097,-95.0765908
1C4JJXP67NW197998,"$59,775 ","$58,275 ","$58,275 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP66NW227931,Not Provided,"$58,380 ","$58,380 ",Jeep,Wrangler,2022,8-Speed Automatic,11 miles,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South, Dickinson, TX 77539",29.4493097,-95.0765908
1C4JJXP63NW114695,Not Provided,"$58,625 ","$58,625 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South, Dickinson, TX 77539",29.4493097,-95.0765908
1C4JJXP64NW278232,"$60,385 ","$58,885 ","$58,885 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP60NW279829,"$60,470 ","$58,970 ","$58,970 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP60NW177883,"$58,580 ","$58,580 ","$59,026 ",Jeep,Wrangler,2022,8-Speed Automatic,25 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4JJXP6XNW198191,"$59,070 ","$59,070 ","$59,070 ",Jeep,Wrangler,2022,Automatic,1 miles,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy, Webster, TX 77598",29.5833016,-95.1792983
1C4JJXP61NW198189,"$59,070 ","$59,070 ","$59,070 ",Jeep,Wrangler,2022,Automatic,1 miles,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy, Webster, TX 77598",29.5833016,-95.1792983
1C4JJXP66NW218825,"$60,730 ","$59,230 ","$59,230 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP63NW198467,"$59,350 ","$59,350 ","$59,350 ",Jeep,Wrangler,2022,8-Speed Automatic,---,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXP69NW229317,"$57,480 ","$59,480 ","$59,480 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP61NW179058,"$59,675 ","$59,675 ","$59,675 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP63NW136907,"$59,770 ","$59,770 ","$59,770 ",Jeep,Wrangler,2022,Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXP69NW276427,"$59,870 ","$59,870 ","$59,870 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP66NW198186,"$60,070 ","$60,070 ","$60,070 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy, Pasadena, TX 77503",29.7103761,-95.1483381
1C4JJXP6XNW179060,"$60,070 ","$60,070 ","$60,070 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP63NW179059,"$60,070 ","$60,070 ","$60,070 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP66NW179055,"$60,070 ","$60,070 ","$60,070 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP6XNW179057,"$60,070 ","$60,070 ","$60,070 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP64NW179054,"$60,070 ","$60,070 ","$60,070 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP68NW179056,"$60,070 ","$60,070 ","$60,070 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP64NW198395,"$60,080 ","$60,080 ","$60,080 ",Jeep,Wrangler,2022,Automatic,11 miles,Momentum Chrysler Dodge Jeep Ram,"3704 NE I 10 Frontage Rd, Sealy, TX 77474",29.7762388,-96.1274347
1C4JJXP67NW229509,"$60,250 ","$60,250 ","$60,250 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy, Pasadena, TX 77503",29.7103761,-95.1483381
1C4JJXP63NW229314,"$58,280 ","$60,280 ","$60,280 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP60NW229321,"$58,280 ","$60,280 ","$60,280 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP61NW229313,"$58,280 ","$60,280 ","$60,280 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP60NW229318,"$58,280 ","$60,280 ","$60,280 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP69NW229320,"$58,280 ","$60,280 ","$60,280 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP67NW268021,"$61,855 ","$60,355 ","$60,355 ",Jeep,Wrangler,2022,Automatic,0 miles,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North, Humble, TX 77338",29.986783,-95.2771782
1C4JJXP6XNW229956,"$60,645 ","$60,645 ","$60,645 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP68NW229955,"$60,645 ","$60,645 ","$60,645 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP69NW272149,"$60,730 ","$60,730 ","$60,730 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP6XNW205396,"$60,770 ","$60,770 ","$60,770 ",Jeep,Wrangler,2022,Automatic,1 miles,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy, Webster, TX 77598",29.5833016,-95.1792983
1C4JJXP62NW229255,"$60,940 ","$60,940 ","$60,940 ",Jeep,Wrangler,2022,Automatic,0 miles,Gillman Jeep,"10575 W Sam Houston Pkwy S, Houston, TX 77099",29.6666254,-95.5585695
1C4JJXP69NW278551,"$61,860 ","$61,860 ","$61,860 ",Jeep,Wrangler,2022,8-Speed Automatic,---,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXP60NW213734,"$59,965 ","$61,965 ","$61,965 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP69NW213733,"$59,965 ","$61,965 ","$61,965 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXR68NW198655,"$65,725 ","$62,325 ","$62,325 ",Jeep,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy, Houston, TX 77079",29.78321,-95.5993955
1C4JJXP65NW153563,"$61,935 ","$61,935 ","$62,381 ",Jeep,Wrangler,2022,8-Speed Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4JJXP62NW229319,"$57,480 ","$62,480 ","$62,480 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP62NW279752,"$62,860 ","$62,860 ","$62,860 ",Jeep,Wrangler,2022,8-Speed Automatic,---,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXP61NW213709,"$61,075 ","$63,075 ","$63,075 ",Jeep,Wrangler,2022,8-Speed Automatic,10 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP63NW206339,"$63,075 ","$63,075 ","$63,075 ",Jeep,Wrangler,2022,8-Speed Automatic,---,Yaklin Chrysler Dodge Jeep Ram of Angleton,"1212 S Velasco St, Angleton, TX 77515",29.1479516,-95.4307369
1C4JJXR69NW107831,"$63,170 ","$63,170 ","$63,170 ",Jeep,Wrangler,2022,Automatic,0 miles,Gillman Jeep,"10575 W Sam Houston Pkwy S, Houston, TX 77099",29.6666254,-95.5585695
1C4JJXP68NW213707,"$61,925 ","$63,925 ","$63,925 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP6XNW269759,"$62,550 ","$64,550 ","$64,550 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXP65NW179192,"$60,425 ","$64,900 ","$64,900 ",Jeep,Wrangler,2022,Automatic,4 miles,Crossroads Dodge Chrysler Jeep Ram,"320 Highway 146 Byp, Liberty, TX 77575",30.0588201,-94.7702507
1C4JJXP64NW274973,"$61,165 ","$65,888 ","$65,888 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
1C4JJXR63NW228340,"$66,560 ","$66,560 ","$66,560 ",Jeep,Wrangler,2022,8-Speed Automatic,---,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXR66NW229451,"$67,105 ","$67,105 ","$67,105 ",Jeep,Wrangler,2022,Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXR65NW205559,"$67,560 ","$67,560 ","$67,560 ",Jeep,Wrangler,2022,8-Speed Automatic,---,Tomball Dodge Chrysler Jeep,"23777 Highway 249, Tomball, TX 77375",30.0273083,-95.6011605
1C4JJXR61NW152861,"$67,935 ","$67,935 ","$68,381 ",Jeep,Wrangler,2022,8-Speed Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy, Lamesa, TX 79331",32.7478766,-101.9508105
1C4JJXR67NW233797,"$68,885 ","$68,885 ","$68,885 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXP6XNW271396,"$64,480 ","$69,888 ","$69,888 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
1C4JJXR63NW236132,"$70,030 ","$70,030 ","$70,030 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive, Houston, TX 77098",29.7288798,-95.4179281
1C4JJXR6XNW229453,"$71,195 ","$71,195 ","$71,195 ",Jeep,Wrangler,2022,Automatic,2 miles,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy, Houston, TX 77065",29.9121305,-95.6121042
1C4JJXR68NW267084,"$70,935 ","$72,935 ","$72,935 ",Jeep,Wrangler,2022,8-Speed Automatic,5 miles,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy, Manvel, TX 77578",29.5382955,-95.3853406
1C4JJXR64NW250458,"$70,970 ","$74,888 ","$74,888 ",Jeep,Wrangler,2022,8-Speed Automatic Overdrive,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
